id_registro_sensor,temperatura,umidade,dia,horario,corrente,id_node
90078,0,0,16/12/2019,00:00:40,0.74,4
90081,0,0,16/12/2019,00:01:43,0.7,4
90084,0,0,16/12/2019,00:02:46,0.71,4
90087,0,0,16/12/2019,00:03:49,0.73,4
90090,0,0,16/12/2019,00:04:52,0.74,4
90093,0,0,16/12/2019,00:05:55,0.75,4
90096,0,0,16/12/2019,00:07:01,0.73,4
90099,0,0,16/12/2019,00:08:04,0.74,4
90103,0,0,16/12/2019,00:09:07,0.75,4
90106,0,0,16/12/2019,00:10:10,0.73,4
90109,0,0,16/12/2019,00:11:13,0.74,4
90112,0,0,16/12/2019,00:12:19,0.74,4
90115,0,0,16/12/2019,00:13:22,0.72,4
90118,0,0,16/12/2019,00:14:27,0.73,4
90121,0,0,16/12/2019,00:15:28,0.73,4
90124,0,0,16/12/2019,00:16:31,0.67,4
90127,0,0,16/12/2019,00:17:34,0.7,4
90130,0,0,16/12/2019,00:18:37,0.69,4
90133,0,0,16/12/2019,00:19:40,0.72,4
90136,0,0,16/12/2019,00:20:43,0.68,4
90139,0,0,16/12/2019,00:21:49,0.67,4
90142,0,0,16/12/2019,00:22:55,0.66,4
90145,0,0,16/12/2019,00:23:58,0.66,4
90148,0,0,16/12/2019,00:25:06,0.69,4
90151,0,0,16/12/2019,00:26:07,0.74,4
90154,0,0,16/12/2019,00:27:10,0.73,4
90157,0,0,16/12/2019,00:28:13,0.71,4
90160,0,0,16/12/2019,00:29:16,0.71,4
90163,0,0,16/12/2019,00:30:19,0.73,4
90166,0,0,16/12/2019,00:31:22,0.76,4
90169,0,0,16/12/2019,00:32:25,0.75,4
90172,0,0,16/12/2019,00:33:28,0.72,4
90175,0,0,16/12/2019,00:34:31,0.72,4
90178,0,0,16/12/2019,00:35:34,0.7,4
90181,0,0,16/12/2019,00:36:37,0.67,4
90184,0,0,16/12/2019,00:37:40,0.7,4
90187,0,0,16/12/2019,00:38:43,0.68,4
90190,0,0,16/12/2019,00:39:46,0.73,4
90193,0,0,16/12/2019,00:40:49,0.72,4
90196,0,0,16/12/2019,00:41:52,0.71,4
90199,0,0,16/12/2019,00:42:55,0.72,4
90202,0,0,16/12/2019,00:43:58,0.75,4
90205,0,0,16/12/2019,00:45:01,0.75,4
90208,0,0,16/12/2019,00:46:04,0.74,4
90211,0,0,16/12/2019,00:47:07,0.72,4
90215,0,0,16/12/2019,00:48:13,0.72,4
90218,0,0,16/12/2019,00:49:16,0.73,4
90221,0,0,16/12/2019,00:50:19,0.71,4
90224,0,0,16/12/2019,00:51:22,0.7,4
90227,0,0,16/12/2019,00:52:25,0.69,4
90230,0,0,16/12/2019,00:53:28,0.73,4
90233,0,0,16/12/2019,00:54:31,0.73,4
90236,0,0,16/12/2019,00:55:37,0.74,4
90239,0,0,16/12/2019,00:56:40,0.69,4
90242,0,0,16/12/2019,00:57:43,0.73,4
90245,0,0,16/12/2019,00:58:46,0.7,4
90248,0,0,16/12/2019,00:59:49,0.72,4
90251,0,0,16/12/2019,01:00:54,0.71,4
90254,0,0,16/12/2019,01:01:56,0.72,4
90257,0,0,16/12/2019,01:02:58,0.66,4
90260,0,0,16/12/2019,01:04:01,0.72,4
90263,0,0,16/12/2019,01:05:05,0.73,4
90266,0,0,16/12/2019,01:06:08,0.72,4
90269,0,0,16/12/2019,01:07:11,0.72,4
90272,0,0,16/12/2019,01:08:14,0.72,4
90275,0,0,16/12/2019,01:09:17,0.73,4
90278,0,0,16/12/2019,01:10:20,0.72,4
90281,0,0,16/12/2019,01:11:23,0.71,4
90284,0,0,16/12/2019,01:12:26,0.74,4
90287,0,0,16/12/2019,01:13:29,0.72,4
90290,0,0,16/12/2019,01:14:32,0.71,4
90293,0,0,16/12/2019,01:15:37,0.71,4
90297,0,0,16/12/2019,01:16:41,0.73,4
90300,0,0,16/12/2019,01:17:44,0.72,4
90303,0,0,16/12/2019,01:18:47,0.71,4
90306,0,0,16/12/2019,01:19:50,0.71,4
90309,0,0,16/12/2019,01:20:53,0.67,4
90312,0,0,16/12/2019,01:21:59,0.66,4
90315,0,0,16/12/2019,01:23:02,0.71,4
90318,0,0,16/12/2019,01:24:05,0.73,4
90321,0,0,16/12/2019,01:25:08,0.74,4
90324,0,0,16/12/2019,01:26:11,0.69,4
90327,0,0,16/12/2019,01:27:14,0.72,4
90330,0,0,16/12/2019,01:28:18,0.72,4
90333,0,0,16/12/2019,01:29:21,0.68,4
90336,0,0,16/12/2019,01:30:24,0.66,4
90339,0,0,16/12/2019,01:31:27,0.7,4
90342,0,0,16/12/2019,01:32:30,0.69,4
90345,0,0,16/12/2019,01:33:33,0.7,4
90348,0,0,16/12/2019,01:34:36,0.71,4
90351,0,0,16/12/2019,01:35:39,0.74,4
90354,0,0,16/12/2019,01:36:42,0.72,4
90357,0,0,16/12/2019,01:37:44,0.69,4
90360,0,0,16/12/2019,01:38:47,0.68,4
90363,0,0,16/12/2019,01:39:50,0.71,4
90366,0,0,16/12/2019,01:40:56,0.72,4
90369,0,0,16/12/2019,01:41:59,0.73,4
90372,0,0,16/12/2019,01:43:02,0.73,4
90375,0,0,16/12/2019,01:44:05,0.69,4
90378,0,0,16/12/2019,01:45:08,0.67,4
90381,0,0,16/12/2019,01:46:11,0.71,4
90384,0,0,16/12/2019,01:47:14,0.68,4
90387,0,0,16/12/2019,01:48:17,0.68,4
90390,0,0,16/12/2019,01:49:20,0.66,4
90393,0,0,16/12/2019,01:50:23,0.7,4
90396,0,0,16/12/2019,01:51:29,0.7,4
90399,0,0,16/12/2019,01:52:32,0.73,4
90403,0,0,16/12/2019,01:53:38,0.72,4
