id_registro_sensor,temperatura,umidade,dia,horario,corrente,id_node
44882,0,0,21/11/2019,00:01:02,0.02,4
44883,0,0,21/11/2019,00:02:05,0,4
44884,0,0,21/11/2019,00:03:07,0.9700000000000002,4
44885,0,0,21/11/2019,00:04:10,0.33,4
44886,0,0,21/11/2019,00:05:16,1.2300000000000002,4
44887,0,0,21/11/2019,00:06:18,0,4
44888,0,0,21/11/2019,00:07:21,0.01,4
44889,0,0,21/11/2019,00:08:24,0.34,4
44890,0,0,21/11/2019,00:09:27,0.9000000000000001,4
44891,0,0,21/11/2019,00:10:32,0,4
44892,0,0,21/11/2019,00:11:35,0.6400000000000001,4
44893,0,0,21/11/2019,00:12:38,0.01,4
44894,0,0,21/11/2019,00:13:40,0.01,4
44895,0,0,21/11/2019,00:14:43,0.01,4
44896,0,0,21/11/2019,00:15:48,0,4
44897,0,0,21/11/2019,00:16:57,0.03,4
44898,0,0,21/11/2019,00:18:00,0.01,4
44899,0,0,21/11/2019,00:19:03,0.6200000000000001,4
44900,0,0,21/11/2019,00:20:05,0.05,4
44901,0,0,21/11/2019,00:21:08,0.01,4
44902,0,0,21/11/2019,00:22:11,0.6500000000000001,4
44903,0,0,21/11/2019,00:23:14,0.35000000000000003,4
44904,0,0,21/11/2019,00:24:17,0.33,4
44905,0,0,21/11/2019,00:25:22,0.03,4
44906,0,0,21/11/2019,00:26:25,0.34,4
44907,0,0,21/11/2019,00:27:27,1.05,4
44908,0,0,21/11/2019,00:28:30,0.060000000000000005,4
44909,0,0,21/11/2019,00:29:33,0,4
44910,0,0,21/11/2019,00:30:35,0.01,4
44911,0,0,21/11/2019,00:31:38,0.02,4
44912,0,0,21/11/2019,00:32:41,0.01,4
44913,0,0,21/11/2019,00:33:47,1.2900000000000003,4
44914,0,0,21/11/2019,00:34:49,0.6800000000000002,4
44915,0,0,21/11/2019,00:35:52,0.02,4
44916,0,0,21/11/2019,00:36:55,0.04,4
44917,0,0,21/11/2019,00:37:57,0.03,4
44918,0,0,21/11/2019,00:39:00,0.6700000000000002,4
44919,0,0,21/11/2019,00:40:03,0.6600000000000001,4
44920,0,0,21/11/2019,00:41:09,0.01,4
44921,0,0,21/11/2019,00:42:11,0.03,4
44922,0,0,21/11/2019,00:43:14,0.6400000000000001,4
44923,0,0,21/11/2019,00:44:17,0.6000000000000001,4
44924,0,0,21/11/2019,00:45:20,0.67,4
44925,0,0,21/11/2019,00:46:22,0.7000000000000001,4
44926,0,0,21/11/2019,00:47:25,0.02,4
44927,0,0,21/11/2019,00:48:28,0.01,4
44928,0,0,21/11/2019,00:49:31,0.6700000000000002,4
44929,0,0,21/11/2019,00:50:33,1.3100000000000003,4
44930,0,0,21/11/2019,00:51:36,0.060000000000000005,4
44931,0,0,21/11/2019,00:52:39,0.01,4
44932,0,0,21/11/2019,00:53:42,0.6000000000000001,4
44933,0,0,21/11/2019,00:54:44,0.05,4
44934,0,0,21/11/2019,00:55:50,0,4
44935,0,0,21/11/2019,00:56:53,0.6400000000000001,4
44936,0,0,21/11/2019,00:57:55,0,4
44937,0,0,21/11/2019,00:58:58,0,4
44938,0,0,21/11/2019,01:00:01,0,4
44939,0,0,21/11/2019,01:01:03,0,4
44940,0,0,21/11/2019,01:02:06,0,4
44941,0,0,21/11/2019,01:03:09,0.75,4
44942,0,0,21/11/2019,01:04:12,0,4
44943,0,0,21/11/2019,01:05:14,0.01,4
44944,0,0,21/11/2019,01:06:17,0.6500000000000001,4
44945,0,0,21/11/2019,01:07:20,0.6500000000000001,4
44946,0,0,21/11/2019,01:08:22,0,4
44947,0,0,21/11/2019,01:09:25,0.02,4
44948,0,0,21/11/2019,01:10:28,0.9500000000000002,4
44949,0,0,21/11/2019,01:11:31,0.34,4
44950,0,0,21/11/2019,01:12:36,0.6500000000000001,4
44951,0,0,21/11/2019,01:13:39,0.02,4
44952,0,0,21/11/2019,01:14:42,0.6600000000000001,4
44953,0,0,21/11/2019,01:15:44,0.01,4
44954,0,0,21/11/2019,01:16:47,0.6600000000000001,4
44955,0,0,21/11/2019,01:17:50,0.6600000000000001,4
44956,0,0,21/11/2019,01:18:53,0.03,4
44957,0,0,21/11/2019,01:19:55,0.01,4
44958,0,0,21/11/2019,01:20:58,0.6700000000000002,4
44959,0,0,21/11/2019,01:22:01,0.6500000000000001,4
44960,0,0,21/11/2019,01:23:04,0.01,4
44961,0,0,21/11/2019,01:24:06,0,4
44962,0,0,21/11/2019,01:25:09,0,4
44963,0,0,21/11/2019,01:26:12,0,4
44964,0,0,21/11/2019,01:27:17,0,4
44965,0,0,21/11/2019,01:28:22,0.01,4
44966,0,0,21/11/2019,01:29:25,0.01,4
44967,0,0,21/11/2019,01:30:31,0.6500000000000001,4
44968,0,0,21/11/2019,01:31:34,0.02,4
44969,0,0,21/11/2019,01:32:36,0,4
44970,0,0,21/11/2019,01:33:39,0.03,4
44971,0,0,21/11/2019,01:34:42,0.6700000000000002,4
44972,0,0,21/11/2019,01:35:44,0.6600000000000001,4
44973,0,0,21/11/2019,01:36:47,0.02,4
44974,0,0,21/11/2019,01:37:50,0.02,4
44975,0,0,21/11/2019,01:38:52,0.6700000000000002,4
44976,0,0,21/11/2019,01:39:58,0.8,4
44977,0,0,21/11/2019,01:41:07,0.6600000000000001,4
44978,0,0,21/11/2019,01:42:10,0.6600000000000001,4
44979,0,0,21/11/2019,01:43:12,0.01,4
44980,0,0,21/11/2019,01:44:15,1.2600000000000002,4
44981,0,0,21/11/2019,01:45:18,0.060000000000000005,4
44982,0,0,21/11/2019,01:46:21,0.01,4
44983,0,0,21/11/2019,01:47:23,0.01,4
44984,0,0,21/11/2019,01:48:26,0.04,4
44985,0,0,21/11/2019,01:49:29,0.74,4
44986,0,0,21/11/2019,01:50:32,1,4
44987,0,0,21/11/2019,01:51:34,0.35,4
44988,0,0,21/11/2019,01:52:37,0.01,4
44989,0,0,21/11/2019,01:53:40,0.02,4
44990,0,0,21/11/2019,01:54:45,0,4
44991,0,0,21/11/2019,01:55:48,0,4
44992,0,0,21/11/2019,01:56:51,0.6500000000000001,4
44993,0,0,21/11/2019,01:57:53,0.02,4
44994,0,0,21/11/2019,01:58:56,0.6600000000000001,4
44995,0,0,21/11/2019,01:59:59,0.9800000000000002,4
44996,0,0,21/11/2019,02:01:02,0.8900000000000001,4
44997,0,0,21/11/2019,02:02:04,0.01,4
44998,0,0,21/11/2019,02:03:07,0.02,4
44999,0,0,21/11/2019,02:04:10,0.03,4
45000,0,0,21/11/2019,02:05:13,0,4
45001,0,0,21/11/2019,02:06:16,1.1,4
45002,0,0,21/11/2019,02:07:19,1.07,4
45003,0,0,21/11/2019,02:08:21,0.05,4
45004,0,0,21/11/2019,02:09:24,0.01,4
45005,0,0,21/11/2019,02:10:27,0.6500000000000001,4
45006,0,0,21/11/2019,02:11:29,0,4
45007,0,0,21/11/2019,02:12:32,0,4
45008,0,0,21/11/2019,02:13:35,0,4
45009,0,0,21/11/2019,02:14:37,0.02,4
45010,0,0,21/11/2019,02:15:40,0,4
45011,0,0,21/11/2019,02:16:43,0.6400000000000001,4
45012,0,0,21/11/2019,02:17:46,0.01,4
45013,0,0,21/11/2019,02:18:51,0.6400000000000001,4
45014,0,0,21/11/2019,02:19:54,0.02,4
45015,0,0,21/11/2019,02:20:57,0.03,4
45016,0,0,21/11/2019,02:21:59,0.02,4
45017,0,0,21/11/2019,02:23:02,0.04,4
45018,0,0,21/11/2019,02:24:05,0.04,4
45019,0,0,21/11/2019,02:25:07,0.04,4
45020,0,0,21/11/2019,02:26:10,0.6700000000000002,4
45021,0,0,21/11/2019,02:27:13,0.02,4
45022,0,0,21/11/2019,02:28:16,0.6600000000000001,4
45023,0,0,21/11/2019,02:29:18,0.6500000000000001,4
45024,0,0,21/11/2019,02:30:21,0.01,4
45025,0,0,21/11/2019,02:31:24,0.01,4
45026,0,0,21/11/2019,02:32:26,0,4
45027,0,0,21/11/2019,02:33:29,0,4
45028,0,0,21/11/2019,02:34:32,0,4
45029,0,0,21/11/2019,02:35:34,0.6400000000000001,4
45030,0,0,21/11/2019,02:36:37,0,4
45031,0,0,21/11/2019,02:37:39,0,4
45032,0,0,21/11/2019,02:38:42,0.6500000000000001,4
45033,0,0,21/11/2019,02:39:48,0.74,4
45034,0,0,21/11/2019,02:40:51,0.07,4
45035,0,0,21/11/2019,02:41:53,0.03,4
45036,0,0,21/11/2019,02:42:56,0.01,4
45037,0,0,21/11/2019,02:43:59,0.78,4
45038,0,0,21/11/2019,02:45:02,0.03,4
45039,0,0,21/11/2019,02:46:04,0.01,4
45040,0,0,21/11/2019,02:47:07,0,4
45041,0,0,21/11/2019,02:48:10,0.01,4
45042,0,0,21/11/2019,02:49:12,0.6600000000000001,4
45043,0,0,21/11/2019,02:50:15,0.6200000000000001,4
45044,0,0,21/11/2019,02:51:18,0.78,4
45045,0,0,21/11/2019,02:52:21,0.6600000000000001,4
45046,0,0,21/11/2019,02:53:23,0.33,4
45047,0,0,21/11/2019,02:54:26,0.45,4
45048,0,0,21/11/2019,02:55:31,0.6100000000000001,4
45049,0,0,21/11/2019,02:56:32,0.6900000000000001,4
45050,0,0,21/11/2019,02:57:34,0.01,4
45051,0,0,21/11/2019,02:58:37,0,4
45052,0,0,21/11/2019,02:59:40,0.01,4
45053,0,0,21/11/2019,03:00:42,0,4
45054,0,0,21/11/2019,03:01:45,0.6400000000000001,4
45055,0,0,21/11/2019,03:02:48,0.6400000000000001,4
45056,0,0,21/11/2019,03:03:51,0.01,4
45057,0,0,21/11/2019,03:04:54,1.2600000000000002,4
45058,0,0,21/11/2019,03:05:56,0.01,4
45059,0,0,21/11/2019,03:06:59,0,4
45060,0,0,21/11/2019,03:08:02,0.02,4
45061,0,0,21/11/2019,03:09:07,0.03,4
45062,0,0,21/11/2019,03:10:10,0.04,4
45063,0,0,21/11/2019,03:11:12,0.05,4
45064,0,0,21/11/2019,03:12:15,0.6700000000000002,4
45065,0,0,21/11/2019,03:13:18,1.1800000000000002,4
45066,0,0,21/11/2019,03:14:21,0.07,4
45067,0,0,21/11/2019,03:15:23,0.02,4
45068,0,0,21/11/2019,03:16:26,0,4
