id_registro_sensor,temperatura,umidade,dia,horario,corrente,id_node
189649,26.867,81.8,10/03/2020,00:00:03,0.0,3
189650,0.0,0.0,10/03/2020,00:00:06,1.12,4
189651,26.767,73.133,10/03/2020,00:00:14,0.0,1
189652,26.867,81.367,10/03/2020,00:01:04,0.0,3
189653,0.0,0.0,10/03/2020,00:01:08,2.51,4
189654,26.8,73.167,10/03/2020,00:01:15,0.0,1
189655,26.9,82.7,10/03/2020,00:02:04,0.0,3
189656,0.0,0.0,10/03/2020,00:02:09,1.36,4
189657,26.8,73.15,10/03/2020,00:02:15,0.0,1
189658,26.9,82.0,10/03/2020,00:03:04,0.0,3
189659,0.0,0.0,10/03/2020,00:03:14,6.23,4
189660,26.8,73.183,10/03/2020,00:03:18,0.0,1
189661,26.9,82.567,10/03/2020,00:04:04,0.0,3
189662,26.8,73.183,10/03/2020,00:04:18,0.0,1
189663,0.0,0.0,10/03/2020,00:04:18,0.73,4
189664,26.9,82.267,10/03/2020,00:05:04,0.0,3
189665,26.8,73.267,10/03/2020,00:05:18,0.0,1
189666,0.0,0.0,10/03/2020,00:05:20,3.08,4
189667,26.9,81.783,10/03/2020,00:06:04,0.0,3
189668,26.8,73.3,10/03/2020,00:06:18,0.0,1
189669,0.0,0.0,10/03/2020,00:06:21,1.44,4
189670,26.883,81.917,10/03/2020,00:07:04,0.0,3
189671,26.8,73.283,10/03/2020,00:07:18,0.0,1
189672,0.0,0.0,10/03/2020,00:07:26,2.84,4
189673,26.9,81.267,10/03/2020,00:08:04,0.0,3
189674,26.8,73.383,10/03/2020,00:08:18,0.0,1
189675,0.0,0.0,10/03/2020,00:08:30,2.76,4
189676,26.9,81.533,10/03/2020,00:09:04,0.0,3
189677,26.8,73.333,10/03/2020,00:09:18,0.0,1
189678,0.0,0.0,10/03/2020,00:09:31,0.1,4
189679,26.9,82.533,10/03/2020,00:10:05,0.0,3
189680,26.817,73.433,10/03/2020,00:10:19,0.0,1
189681,0.0,0.0,10/03/2020,00:10:33,2.76,4
189682,26.9,82.017,10/03/2020,00:11:05,0.0,3
189683,26.8,73.667,10/03/2020,00:11:19,0.0,1
189684,0.0,0.0,10/03/2020,00:11:37,1.43,4
189685,26.9,83.217,10/03/2020,00:12:05,0.0,3
189686,26.8,73.75,10/03/2020,00:12:19,0.0,1
189687,0.0,0.0,10/03/2020,00:12:39,1.52,4
189688,26.9,82.05,10/03/2020,00:13:05,0.0,3
189689,26.817,73.683,10/03/2020,00:13:19,0.0,1
189690,0.0,0.0,10/03/2020,00:13:40,0.0,4
189691,26.9,83.767,10/03/2020,00:14:05,0.0,3
189692,26.8,73.683,10/03/2020,00:14:19,0.0,1
189693,0.0,0.0,10/03/2020,00:14:42,3.55,4
189694,26.9,83.583,10/03/2020,00:15:05,0.0,3
189695,26.8,73.717,10/03/2020,00:15:19,0.0,1
189696,0.0,0.0,10/03/2020,00:15:43,0.71,4
189697,26.95,84.05,10/03/2020,00:16:08,0.0,3
189698,26.8,74.267,10/03/2020,00:16:20,0.0,1
189699,0.0,0.0,10/03/2020,00:16:48,1.65,4
